myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
CallowhillSunday101,Callowhill,2-22-2026,Sunday,,,,101,2023-10-11 12:29 AM,,2023-10-11 8:43 AM,8:04,8.1,,21-42,9101,O,12:43 AM,I,08:41 AM,7:58,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 7:58,--> O: 12:43 AM > I: 08:41 AM,,,,,,,,,,,,,,,,,,,
CallowhillSunday102,Callowhill,2-22-2026,Sunday,,,,102,2023-10-11 01:13 AM,,2023-10-11 9:00 AM,7:37,8.0,,21-42,9102,O,01:27 AM,I,08:58 AM,7:31,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 7:31,--> O: 01:27 AM > I: 08:58 AM,,,,,,,,,,,,,,,,,,,
CallowhillSunday103,Callowhill,2-22-2026,Sunday,,,,103,2023-10-11 03:56 AM,,2023-10-11 11:34 AM,7:28,8.0,,21-42,9103,O,04:10 AM,I,11:32 AM,7:22,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 7:22,--> O: 04:10 AM > I: 11:32 AM,,,,,,,,,,,,,,,,,,,
CallowhillSunday104,Callowhill,2-22-2026,Sunday,,,,104,2023-10-11 04:29 AM,,2023-10-11 2:25 PM,9:46,10.7,,21-42,9104,O,04:43 AM,I,02:23 PM,9:40,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:40,--> O: 04:43 AM > I: 02:23 PM,,,,,,,,,,,,,,,,,,,
CallowhillSunday105,Callowhill,2-22-2026,Sunday,,,,105,2023-10-11 06:51 AM,,2023-10-11 5:03 PM,10:02,11.1,,21-42,9105,O,07:05 AM,I,05:01 PM,9:56,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:56,--> O: 07:05 AM > I: 05:01 PM,,,,,,,,,,,,,,,,,,,
CallowhillSunday106,Callowhill,2-22-2026,Sunday,,,,106,2023-10-11 07:15 AM,,2023-10-11 4:13 PM,8:48,9.2,,21-42,9107,O,07:29 AM,I,04:11 PM,8:42,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:42,--> O: 07:29 AM > I: 04:11 PM,,,,,,,,,,,,,,,,,,,
CallowhillSunday107,Callowhill,2-22-2026,Sunday,,,,107,2023-10-11 07:15 AM,,2023-10-11 5:17 PM,9:52,10.8,,21-42,9106,O,07:29 AM,I,05:15 PM,9:46,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:46,--> O: 07:29 AM > I: 05:15 PM,,,,,,,,,,,,,,,,,,,
CallowhillSunday108,Callowhill,2-22-2026,Sunday,,,,108,2023-10-11 07:34 AM,,2023-10-11 5:45 PM,10:01,11.0,,21-42,9108,O,07:48 AM,I,05:43 PM,9:55,595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:55,--> O: 07:48 AM > I: 05:43 PM,,,,,,,,,,,,,,,,,,,
CallowhillSunday109,Callowhill,2-22-2026,Sunday,,,,109,2023-10-11 07:53 AM,,2023-10-11 4:45 PM,8:42,9.1,,21-42,9109,O,08:07 AM,I,04:43 PM,8:36,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:36,--> O: 08:07 AM > I: 04:43 PM,,,,,,,,,,,,,,,,,,,
CallowhillSunday110,Callowhill,2-22-2026,Sunday,,,,110,2023-10-11 07:54 AM,,2023-10-11 4:33 PM,8:29,8.7,,21-42,9110,O,08:08 AM,I,04:31 PM,8:23,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:23,--> O: 08:08 AM > I: 04:31 PM,,,,,,,,,,,,,,,,,,,
CallowhillSunday111,Callowhill,2-22-2026,Sunday,,,,111,2023-10-11 08:26 AM,,2023-10-11 5:14 PM,8:38,9.0,,21-42,9112,O,08:40 AM,I,05:12 PM,8:32,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:32,--> O: 08:40 AM > I: 05:12 PM,,,,,,,,,,,,,,,,,,,
CallowhillSunday112,Callowhill,2-22-2026,Sunday,,,,112,2023-10-11 08:48 AM,,2023-10-11 5:21 PM,8:23,8.6,,21-42,9114,O,09:02 AM,I,05:19 PM,8:17,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:17,--> O: 09:02 AM > I: 05:19 PM,,,,,,,,,,,,,,,,,,,
CallowhillSunday113,Callowhill,2-22-2026,Sunday,,,,113,2023-10-11 08:56 AM,,2023-10-11 6:10 PM,9:04,9.6,,21-42,9115,O,09:10 AM,I,06:08 PM,8:58,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:58,--> O: 09:10 AM > I: 06:08 PM,,,,,,,,,,,,,,,,,,,
CallowhillSunday114,Callowhill,2-22-2026,Sunday,,,,114,2023-10-11 08:27 AM,,2023-10-11 6:41 PM,10:04,11.1,,21-42,9113,O,08:41 AM,I,06:39 PM,9:58,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:58,--> O: 08:41 AM > I: 06:39 PM,,,,,,,,,,,,,,,,,,,
