myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Victory Bussunday1,Victory Bus,3-01-2026,sunday,,,,1,2023-10-11 06:41 AM,,2023-10-11 3:26 PM,8.2,8.2,,103,4201,O,06:54 AM,CG,07:30 AM,0:36,36,,105,4201,CG,07:30 AM,CG,09:00 AM,1:30,90,,103,4201,CG,09:00 AM,CG,09:30 AM,0:30,30,,105,4201,CG,09:30 AM,L,10:35 AM,1:05,65,,105,4201,L,11:00 AM,CG,11:00 AM,0:00,0,,103,4201,CG,11:00 AM,CG,11:30 AM,0:30,30,,105,4201,CG,11:30 AM,CG,01:00 PM,1:30,90,,103,4201,CG,01:00 PM,CG,01:30 PM,0:30,30,,105,4201,CG,01:30 PM,CG,03:00 PM,1:30,90,,103,4201,CG,03:00 PM,I,03:24 PM,0:24,24,RTE: 103 SCHD: 0:36,--> O: 06:54 AM > CG: 07:30 AM,RTE: 105 SCHD: 1:30,--> CG: 07:30 AM > CG: 09:00 AM,RTE: 103 SCHD: 0:30,--> CG: 09:00 AM > CG: 09:30 AM,RTE: 105 SCHD: 1:05,--> CG: 09:30 AM > L: 10:35 AM,RTE: 105 SCHD: 0:00,--> L: 11:00 AM > CG: 11:00 AM,RTE: 103 SCHD: 0:30,--> CG: 11:00 AM > CG: 11:30 AM,RTE: 105 SCHD: 1:30,--> CG: 11:30 AM > CG: 01:00 PM,RTE: 103 SCHD: 0:30,--> CG: 01:00 PM > CG: 01:30 PM,RTE: 105 SCHD: 1:30,--> CG: 01:30 PM > CG: 03:00 PM,RTE: 103 SCHD: 0:24,--> CG: 03:00 PM > I: 03:24 PM,
Victory Bussunday26,Victory Bus,3-01-2026,sunday,,,,26,2023-10-11 04:47 AM,,2023-10-11 1:34 PM,8.1,8.1,,104,4215,O,05:00 AM,L,09:05 AM,4:05,245,,104,4215,L,09:35 AM,I,01:32 PM,3:57,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 4:05,--> O: 05:00 AM > L: 09:05 AM,RTE: 104 SCHD: 3:57,--> L: 09:35 AM > I: 01:32 PM,,,,,,,,,,,,,,,,,
Victory Bussunday27,Victory Bus,3-01-2026,sunday,,,,27,2023-10-11 05:17 AM,1:09,2023-10-11 1:09 PM,7.2,8.0,,104,4216,O,05:30 AM,L,08:35 AM,3:05,185,,104,4216,L,09:05 AM,R,01:01 PM,3:56,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 3:05,--> O: 05:30 AM > L: 08:35 AM,RTE: 104 SCHD: 3:56,--> L: 09:05 AM > R: 01:01 PM,,,,,,,,,,,,,,,,,
Victory Bussunday28,Victory Bus,3-01-2026,sunday,,,,28,2023-10-11 05:47 AM,,2023-10-11 5:11 PM,10.7,10.7,,104,4217,O,06:00 AM,L,08:02 AM,2:02,122,,104,4217,L,08:35 AM,CG,11:15 AM,2:40,160,,108,4217,CG,11:15 AM,I,05:09 PM,5:54,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 2:02,--> O: 06:00 AM > L: 08:02 AM,RTE: 104 SCHD: 2:40,--> L: 08:35 AM > CG: 11:15 AM,RTE: 108 SCHD: 5:54,--> CG: 11:15 AM > I: 05:09 PM,,,,,,,,,,,,,,,
Victory Bussunday29,Victory Bus,3-01-2026,sunday,02:57 PM,0Hrs 24Min,1440,29,2023-10-11 07:47 AM,,2023-10-11 6:51 PM,10.4,10.4,,104,4218,O,08:00 AM,L,10:58 AM,2:58,178,,104,4218,L,11:27 AM,R,02:33 PM,3:06,186,,109,4402,R,02:57 PM,I,06:49 PM,3:52,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 2:58,--> O: 08:00 AM > L: 10:58 AM,RTE: 104 SCHD: 3:06,--> L: 11:27 AM > R: 02:33 PM,RTE: 109 SCHD: 3:52,--> R: 02:57 PM > I: 06:49 PM,,,,,,,,,,,,,,,
Victory Bussunday30,Victory Bus,3-01-2026,sunday,,,,30,2023-10-11 08:42 AM,,2023-10-11 7:53 PM,10.5,10.5,,104,4219,O,08:55 AM,L,12:26 PM,3:31,211,,104,4219,L,01:05 PM,CG,07:14 PM,6:09,369,,123,4219,CG,07:14 PM,I,07:51 PM,0:37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 3:31,--> O: 08:55 AM > L: 12:26 PM,RTE: 104 SCHD: 6:09,--> L: 01:05 PM > CG: 07:14 PM,RTE: 123 SCHD: 0:37,--> CG: 07:14 PM > I: 07:51 PM,,,,,,,,,,,,,,,
Victory Bussunday31,Victory Bus,3-01-2026,sunday,,,,31,2023-10-11 12:17 PM,,2023-10-11 9:05 PM,8.1,8.1,,104,4220,O,12:30 PM,CG,02:30 PM,2:00,120,,110,4220,CG,02:30 PM,L,04:33 PM,2:03,123,,110,4220,L,05:30 PM,I,09:03 PM,3:33,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 2:00,--> O: 12:30 PM > CG: 02:30 PM,RTE: 110 SCHD: 2:03,--> CG: 02:30 PM > L: 04:33 PM,RTE: 110 SCHD: 3:33,--> L: 05:30 PM > I: 09:03 PM,,,,,,,,,,,,,,,
Victory Bussunday32,Victory Bus,3-01-2026,sunday,,,,32,2023-10-11 02:17 PM,,2023-10-12 12:09 AM,9.4,9.4,,104,4221,O,02:30 PM,CG,04:05 PM,1:35,95,,109,4221,CG,04:05 PM,L,05:45 PM,1:40,100,,109,4221,L,06:05 PM,CG,08:00 PM,1:55,115,,111,4221,CG,08:00 PM,CG,10:38 PM,2:38,158,,109,4221,CG,10:38 PM,I,12:07 AM,1:29,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 1:35,--> O: 02:30 PM > CG: 04:05 PM,RTE: 109 SCHD: 1:40,--> CG: 04:05 PM > L: 05:45 PM,RTE: 109 SCHD: 1:55,--> L: 06:05 PM > CG: 08:00 PM,RTE: 111 SCHD: 2:38,--> CG: 08:00 PM > CG: 10:38 PM,RTE: 109 SCHD: 1:29,--> CG: 10:38 PM > I: 12:07 AM,,,,,,,,,,,
Victory Bussunday33,Victory Bus,3-01-2026,sunday,,,,33,2023-10-11 04:17 PM,,2023-10-12 1:18 AM,8.3,8.3,,104,4222,O,04:30 PM,L,08:08 PM,3:38,218,,104,4222,L,09:05 PM,I,01:16 AM,4:11,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 3:38,--> O: 04:30 PM > L: 08:08 PM,RTE: 104 SCHD: 4:11,--> L: 09:05 PM > I: 01:16 AM,,,,,,,,,,,,,,,,,
Victory Bussunday34,Victory Bus,3-01-2026,sunday,,,,34,2023-10-11 04:47 PM,,2023-10-12 2:19 AM,8.9,8.9,,104,4223,O,05:00 PM,L,07:18 PM,2:18,138,,104,4223,L,08:05 PM,I,02:17 AM,6:12,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 2:18,--> O: 05:00 PM > L: 07:18 PM,RTE: 104 SCHD: 6:12,--> L: 08:05 PM > I: 02:17 AM,,,,,,,,,,,,,,,,,
